2022-05-03 05:26:14 [warn]: 	YOU MUST FUND THE NFT ADDRESS w/ 20+ XRP (CLASSIC): 'rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu' (XADDRESS): 'XVVwrKsPXieZ6fLbn6pMiU9fYjoiwGNFkwrwE68tdRVLhhQ' 
2022-05-03 05:26:14 [warn]: 	validation completed, wallet rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu is funded 
2022-05-03 05:26:14 [info]: 	Domain value: 
@xnft:
ipfs:bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee
http:nft.xrpfs.com
Value size: 91 of 256 bytes used 
2022-05-03 05:26:14 [info]: 	Domain value in hex: 40786E66743A0A697066733A6261666B726569667372736B6C65676B3472336A66743466756377766F34707A7A77637A6A65637366673571726A677032617265766E656C3265650A687474703A6E66742E78727066732E636F6D0A 
2022-05-03 05:26:14 [info]: 	Attempting to set rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu Domain field with resource settings... 
2022-05-03 05:26:15 [debug]: 	attempting submition of transaction: {"TransactionType":"AccountSet","Account":"rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu","Fee":"12","Sequence":26952155,"SetFlag":5,"Domain":"40786E66743A0A697066733A6261666B726569667372736B6C65676B3472336A66743466756377766F34707A7A77637A6A65637366673571726A677032617265766E656C3265650A687474703A6E66742E78727066732E636F6D0A"} 
2022-05-03 05:26:15 [debug]: 	tentative message: The transaction was applied. Only final in a validated ledger. 
2022-05-03 05:26:15 [info]: 	tx status code: tesSUCCESS , tx hash 95301CC6A67E805E749723E46902F95E8C8B408ADB274E6225EDBE85B8E5ED67 
2022-05-03 05:26:15 [info]: 	Validate your NFT data is live (IPFS)(Base Dir): ipfs://bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee/ 
2022-05-03 05:26:15 [info]: 	Validate your NFT base folder is live: https://gateway.ipfs.io/ipfs/bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee  
2022-05-03 05:26:15 [info]: 	See your Testnet NFT wallet here: https://testnet.xrpl.org/accounts/rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu 
2022-05-03 05:26:15 [info]: 	 
2022-05-03 05:26:15 [warn]: 	Script is set to end in 30 minutes 
2022-05-03 05:26:59 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:26:59 [info]: 	[object Object] 
2022-05-03 05:26:59 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555619343 
2022-05-03 05:26:59 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555619343' 
2022-05-03 05:26:59 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555619343' 
2022-05-03 05:26:59 [info]: 	 
2022-05-03 05:27:20 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:27:20 [info]: 	[object Object] 
2022-05-03 05:27:20 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555640371 
2022-05-03 05:27:20 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555640371' 
2022-05-03 05:27:20 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555640371' 
2022-05-03 05:27:20 [info]: 	 
2022-05-03 05:27:20 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:28:43 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:28:43 [info]: 	[object Object] 
2022-05-03 05:28:43 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555723376 
2022-05-03 05:28:43 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555723376' 
2022-05-03 05:28:43 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555723376' 
2022-05-03 05:28:43 [info]: 	 
2022-05-03 05:28:43 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:28:43 [info]: 	adding '/example1651555723376/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:28:43 [info]: 	Init connection to xrp ledger: "wss://s.altnet.rippletest.net" 
2022-05-03 05:28:45 [info]: 	account secret appears valid: 'ss71fBzFpSXMixT6ZBoXNgkFeBo9y' 
2022-05-03 05:28:45 [info]: 	writting data to meta file: /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555723376/meta.json 
2022-05-03 05:28:45 [info]: 	NFT Wallet Address: (Classic)  'rKHx61DGFRZU6SLchLSDRMShFjm6L1BhBu' 
2022-05-03 05:28:45 [info]: 	 
2022-05-03 05:28:45 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/output/example1651555723376 
2022-05-03 05:28:45 [info]: 	 
2022-05-03 05:28:45 [info]: 	object 
2022-05-03 05:29:02 [info]: 	(IPFS) content base string recorded as: ipfs://bafkreifsrsklegk4r3jft4fucwvo4pzzwczjecsfg5qrjgp2arevnel2ee/ 
2022-05-03 05:30:46 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:30:46 [info]: 	[object Object] 
2022-05-03 05:31:36 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:31:36 [info]: 	[object Object] 
2022-05-03 05:33:24 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:33:24 [info]: 	[object Object] 
2022-05-03 05:33:24 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556004347 
2022-05-03 05:33:24 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556004347' 
2022-05-03 05:33:24 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556004347' 
2022-05-03 05:33:24 [info]: 	 
2022-05-03 05:33:24 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:33:24 [info]: 	adding '/example1651556004347/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:33:24 [error]: 	config is not defined 
2022-05-03 05:35:05 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:35:05 [info]: 	[object Object] 
2022-05-03 05:35:05 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556105576 
2022-05-03 05:35:05 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556105576' 
2022-05-03 05:35:05 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556105576' 
2022-05-03 05:35:05 [info]: 	 
2022-05-03 05:35:05 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:35:05 [info]: 	adding '/example1651556105576/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:35:05 [error]: 	Cannot read properties of undefined (reading 'xrp') 
2022-05-03 05:36:25 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:36:25 [info]: 	[object Object] 
2022-05-03 05:36:25 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556185368 
2022-05-03 05:36:25 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556185368' 
2022-05-03 05:36:25 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556185368' 
2022-05-03 05:36:25 [info]: 	 
2022-05-03 05:36:25 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:36:25 [info]: 	adding '/example1651556185368/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:36:25 [error]: 	Cannot read properties of undefined (reading 'xrp') 
2022-05-03 05:37:51 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:37:51 [info]: 	[object Object] 
2022-05-03 05:37:51 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556271460 
2022-05-03 05:37:51 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556271460' 
2022-05-03 05:37:51 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556271460' 
2022-05-03 05:37:51 [info]: 	 
2022-05-03 05:37:51 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
2022-05-03 05:37:51 [info]: 	adding '/example1651556271460/example.json' with cid hash 'decc4839b2ac09fedf5cb84817cf6223373cce8362b7024749d2f9b3cee51f63' to meta data... 
2022-05-03 05:37:51 [error]: 	Cannot read properties of undefined (reading 'xrp') 
2022-05-03 05:38:10 [info]: 	starting IPFS node for content distribution 
2022-05-03 05:38:10 [info]: 	[object Object] 
2022-05-03 05:38:10 [info]: 	user validated build settings for /Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556290498 
2022-05-03 05:38:10 [info]: 	created build destination: '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556290498' 
2022-05-03 05:38:10 [info]: 	copying date from source '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/input/Example/content' to '/Users/utkashar/Documents/open-source/la-sbom-ledger/sbom-ledger/output/example1651556290498' 
2022-05-03 05:38:10 [info]: 	 
2022-05-03 05:38:10 [info]: 	gathering IPFS CID & SHA256 hashes to add to meta data file... 
